1, 17369, 17436, hsa-mir-6859-1
1, 17409, 17431, hsa-miR-6859-5p
1, 17369, 17391, hsa-miR-6859-3p
1, 30366, 30503, hsa-mir-1302-2
1, 30438, 30458, hsa-miR-1302
1, 187891, 187958, hsa-mir-6859-2
1, 187931, 187953, hsa-miR-6859-5p
1, 187891, 187913, hsa-miR-6859-3p
1, 632325, 632413, hsa-mir-6723
1, 632382, 632403, hsa-miR-6723-5p
1, 1167104, 1167198, hsa-mir-200b
1, 1167124, 1167145, hsa-miR-200b-5p
1, 1167160, 1167181, hsa-miR-200b-3p
1, 1167863, 1167952, hsa-mir-200a
1, 1167878, 1167899, hsa-miR-200a-5p
1, 1167916, 1167937, hsa-miR-200a-3p
1, 1169005, 1169087, hsa-mir-429
1, 1169055, 1169076, hsa-miR-429
1, 1296110, 1296170, hsa-mir-6726
1, 1296145, 1296165, hsa-miR-6726-5p
1, 1296110, 1296129, hsa-miR-6726-3p
1, 1312502, 1312566, hsa-mir-6727
1, 1312539, 1312561, hsa-miR-6727-5p
1, 1312502, 1312521, hsa-miR-6727-3p
1, 1339650, 1339708, hsa-mir-6808
1, 1339682, 1339703, hsa-miR-6808-5p
1, 1339650, 1339670, hsa-miR-6808-3p
1, 3127975, 3128035, hsa-mir-4251
1, 3128009, 3128025, hsa-miR-4251
1, 3560695, 3560790, hsa-mir-551a
1, 3560710, 3560730, hsa-miR-551a
1, 5564071, 5564143, hsa-mir-4417
1, 5564082, 5564099, hsa-miR-4417
1, 5862672, 5862741, hsa-mir-4689
1, 5862711, 5862732, hsa-miR-4689
1, 6429834, 6429896, hsa-mir-4252
1, 6429844, 6429862, hsa-miR-4252
1, 8866502, 8866590, hsa-mir-6728
1, 8866563, 8866585, hsa-miR-6728-5p
1, 8866502, 8866522, hsa-miR-6728-3p
1, 9151668, 9151777, hsa-mir-34a
1, 9151735, 9151756, hsa-miR-34a-5p
1, 9151693, 9151714, hsa-miR-34a-3p
1, 9967381, 9967458, hsa-mir-5697
1, 9967390, 9967411, hsa-miR-5697
1, 10227718, 10227803, hsa-mir-1273d
1, 10227727, 10227751, hsa-miR-1273d
1, 12029158, 12029222, hsa-mir-6729
1, 12029163, 12029184, hsa-miR-6729-5p
1, 12029202, 12029222, hsa-miR-6729-3p
1, 12166943, 12167038, hsa-mir-7846
1, 12167010, 12167030, hsa-miR-7846-3p
1, 12191713, 12191773, hsa-mir-4632
1, 12191752, 12191773, hsa-miR-4632-3p
1, 12191713, 12191735, hsa-miR-4632-5p
1, 12578957, 12579023, hsa-mir-6730
1, 12578996, 12579018, hsa-miR-6730-5p
1, 12578958, 12578979, hsa-miR-6730-3p
1, 16858949, 16859021, hsa-mir-3675
1, 16858988, 16859010, hsa-miR-3675-5p
1, 16858958, 16858979, hsa-miR-3675-3p
1, 17277889, 17277975, hsa-mir-3972
1, 17277948, 17277969, hsa-miR-3972
1, 18883202, 18883275, hsa-mir-4695
1, 18883250, 18883271, hsa-miR-4695-5p
1, 18883204, 18883225, hsa-miR-4695-3p
1, 18897071, 18897148, hsa-mir-1290
1, 18897078, 18897096, hsa-miR-1290
1, 20633679, 20633788, hsa-mir-6084
1, 20633756, 20633775, hsa-miR-6084
1, 20988314, 20988432, hsa-mir-1256
1, 20988377, 20988398, hsa-miR-1256
1, 22266239, 22266300, hsa-mir-4418
1, 22266277, 22266294, hsa-miR-4418
1, 22633258, 22633366, hsa-mir-6127
1, 22633328, 22633346, hsa-miR-6127
